Timestamp,DeviceOrientation,AccelerationX,AccelerationY,AccelerationZ,Label
1607595644,portrait,0.236907959,-0.593994141,-0.782348633,yp
1607595644,portrait,0.23651123,-0.557128906,-0.851745605,yp
1607595644,portrait,0.237014771,-0.560638428,-0.811737061,yp
1607595644,portrait,0.229537964,-0.559753418,-0.829803467,yp
1607595644,portrait,0.218444824,-0.587890625,-0.79826355,yp
1607595644,portrait,0.233291626,-0.590377808,-0.822952271,yp
1607595644,portrait,0.209625244,-0.5912323,-0.765792847,yp
1607595644,portrait,0.206924438,-0.593536377,-0.787307739,yp
1607595644,portrait,0.215194702,-0.591873169,-0.766921997,yp
1607595644,portrait,0.219985962,-0.600814819,-0.757858276,yp
1607595644,portrait,0.213226318,-0.591903687,-0.787094116,yp
1607595644,portrait,0.203674316,-0.601837158,-0.775360107,yp
1607595644,portrait,0.207229614,-0.589630127,-0.780380249,yp
1607595644,portrait,0.171539307,-0.580032349,-0.810180664,yp
1607595644,portrait,0.149429321,-0.582962036,-0.781112671,yp
1607595644,portrait,0.134689331,-0.579345703,-0.78742981,yp
1607595644,portrait,0.172927856,-0.600128174,-0.810699463,yp
1607595644,portrait,0.068374634,-0.573120117,-0.784118652,yp
1607595644,portrait,0.110397339,-0.581848145,-0.818481445,yp
1607595644,portrait,0.092437744,-0.607025146,-0.797836304,yp
1607595644,portrait,0.102645874,-0.566665649,-0.810714722,yp
1607595644,portrait,0.111587524,-0.566757202,-0.77986145,yp
1607595644,portrait,0.161209106,-0.547912598,-0.783035278,yp
1607595644,portrait,0.157333374,-0.547836304,-0.805755615,yp
1607595644,portrait,0.147125244,-0.513961792,-0.776138306,yp
1607595644,portrait,0.125595093,-0.532669067,-0.743484497,yp
1607595644,portrait,0.165237427,-0.586883545,-0.880020142,yp
1607595644,portrait,0.193466187,-0.579971313,-0.83631897,yp
1607595644,portrait,0.194732666,-0.638427734,-0.794799805,yp
1607595644,portrait,0.133422852,-0.621490479,-0.816055298,yp
1607595644,portrait,0.166885376,-0.651443481,-0.840423584,yp
1607595644,portrait,0.118423462,-0.634338379,-0.756515503,yp
1607595644,portrait,0.151428223,-0.637878418,-0.758544922,yp
1607595644,portrait,0.15145874,-0.647262573,-0.770507813,yp
1607595644,portrait,0.150222778,-0.648345947,-0.718002319,yp
1607595644,portrait,0.179275513,-0.619049072,-0.780532837,yp
1607595644,portrait,0.19380188,-0.720581055,-0.646377563,yp
1607595645,portrait,0.208999634,-0.744552612,-0.63861084,yp
1607595645,portrait,0.18347168,-0.748352051,-0.594329834,yp
1607595645,portrait,0.164276123,-0.68309021,-0.601776123,yp
1607595645,portrait,0.198898315,-0.651657104,-0.812789917,yp
1607595645,portrait,0.156723022,-0.659088135,-0.766540527,yp
1607595645,portrait,0.203964233,-0.658599854,-0.762481689,yp
1607595645,portrait,0.222290039,-0.690338135,-0.703018188,yp
1607595645,portrait,0.227920532,-0.661300659,-0.690093994,yp
1607595645,portrait,0.220184326,-0.66784668,-0.709701538,yp
1607595645,portrait,0.231079102,-0.645614624,-0.71762085,yp
1607595645,portrait,0.24281311,-0.651428223,-0.724075317,yp
1607595645,portrait,0.224319458,-0.674560547,-0.736312866,yp
1607595645,portrait,0.234085083,-0.641036987,-0.727737427,yp
1607595645,portrait,0.210113525,-0.667541504,-0.714096069,yp
